Test 1- 13/10/21,,Test 2 - 13/10/21,,Test 3 - 13/10/21,,Test 4 - 13/10/21,,Test 1 - 09/11/21,,Test 2 - 09/11/21,
Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm],Height [mm],Pressure [Atm]
,,56.400,0.320,67.000,0.319,45.800,0.319,78.800,0.399,53.200,0.312
,,56.300,0.319,67.000,0.318,45.100,0.320,78.800,0.399,53.300,0.311
,,55.900,0.320,66.900,0.319,45.200,0.319,79.200,0.399,53.500,0.311
,,56.800,0.320,66.900,0.319,45.100,0.320,79.100,0.398,53.600,0.312
,,56.600,0.319,67.000,0.319,45.200,0.320,79.100,0.399,53.400,0.311
,,56.600,0.320,67.000,0.319,45.100,0.319,79.700,0.398,53.700,0.311
,,56.400,0.320,67.200,0.319,45.200,0.320,79.600,0.398,53.600,0.311
,,56.400,0.320,67.500,0.319,45.200,0.319,79.300,0.399,53.700,0.311
,,57.000,0.320,67.600,0.319,45.200,0.319,79.400,0.398,53.800,0.311
,,57.000,0.320,67.400,0.320,45.200,0.320,79.300,0.398,53.800,0.311
,,57.500,0.320,67.600,0.319,45.100,0.319,79.300,0.398,53.900,0.311
,,57.700,0.320,68.000,0.319,45.200,0.320,79.300,0.398,53.800,0.311
,,58.200,0.320,68.000,0.319,45.200,0.320,79.500,0.399,53.600,0.311
,,58.100,0.320,68.100,0.319,45.200,0.319,79.800,0.398,53.800,0.311
,,58.300,0.319,68.100,0.319,45.200,0.320,79.900,0.398,54.000,0.311
,,58.300,0.320,68.200,0.319,45.200,0.320,80.800,0.399,54.100,0.311
,,58.700,0.320,68.600,0.320,45.300,0.320,81.000,0.399,54.100,0.311
,,58.900,0.320,68.700,0.319,45.300,0.319,81.000,0.399,54.200,0.311
,,59.300,0.320,68.500,0.320,45.000,0.319,81.100,0.399,54.200,0.310
,,59.300,0.320,68.600,0.319,45.300,0.320,81.000,0.399,54.100,0.312
,,59.000,0.319,68.700,0.319,45.300,0.320,81.400,0.398,54.100,0.311
,,59.400,0.320,68.700,0.319,45.200,0.319,80.800,0.399,54.100,0.311
,,59.300,0.320,68.500,0.319,45.300,0.320,80.400,0.399,53.900,0.311
,,59.500,0.320,68.500,0.319,45.500,0.320,80.200,0.399,53.900,0.311
,,59.500,0.320,68.700,0.319,45.500,0.320,80.400,0.399,53.900,0.311
,,59.700,0.319,68.800,0.320,45.700,0.320,80.900,0.399,53.700,0.311
,,59.900,0.319,69.100,0.319,45.800,0.319,81.100,0.399,53.700,0.312
,,59.800,0.320,69.200,0.319,45.700,0.320,80.900,0.399,53.900,0.311
,,60.200,0.319,69.200,0.320,45.800,0.320,80.700,0.399,53.600,0.311
,,60.500,0.319,69.000,0.319,45.700,0.320,80.900,0.399,53.900,0.311
,,60.400,0.320,69.200,0.319,45.700,0.320,81.100,0.399,53.900,0.311
,,60.600,0.319,69.200,0.320,45.600,0.320,81.300,0.399,53.900,0.311
,,60.900,0.319,69.200,0.319,45.800,0.320,81.300,0.399,53.800,0.311
,,61.000,0.319,69.200,0.319,45.900,0.319,81.600,0.399,54.100,0.311
,,61.000,0.319,69.200,0.319,45.800,0.320,81.500,0.400,54.300,0.310
,,60.400,0.319,69.200,0.319,45.700,0.319,81.600,0.400,54.300,0.311
,,60.000,0.319,69.200,0.320,45.800,0.319,81.100,0.399,54.300,0.311
,,60.200,0.319,69.500,0.320,45.800,0.319,81.000,0.399,54.300,0.310
,,60.000,0.320,69.700,0.318,45.600,0.320,80.900,0.399,54.300,0.312
,,60.400,0.320,69.700,0.320,45.700,0.320,81.200,0.399,54.300,0.311
,,60.300,0.319,69.700,0.319,45.800,0.320,81.500,0.400,54.400,0.312
,,60.800,0.320,69.700,0.319,45.700,0.320,81.400,0.399,54.400,0.312
,,61.000,0.319,69.700,0.319,45.800,0.319,81.600,0.399,54.300,0.311
,,61.000,0.319,69.700,0.319,45.800,0.319,81.600,0.399,54.400,0.312
,,60.900,0.320,69.600,0.319,45.900,0.320,81.700,0.399,54.200,0.311
,,61.000,0.320,69.800,0.319,45.800,0.319,81.800,0.398,54.100,0.311
,,61.100,0.319,69.700,0.319,45.800,0.320,82.000,0.400,53.700,0.311
,,61.000,0.319,69.800,0.320,45.800,0.319,82.100,0.399,53.800,0.311
,,61.100,0.319,69.800,0.320,45.700,0.319,82.000,0.399,53.800,0.312
,,61.400,0.319,69.800,0.319,45.800,0.319,82.100,0.399,53.700,0.311
,,61.000,0.320,69.800,0.320,45.800,0.318,82.000,0.398,53.600,0.311
,,61.200,0.319,69.900,0.319,45.800,0.320,82.100,0.399,53.500,0.311
,,61.300,0.319,69.700,0.320,46.000,0.319,82.000,0.399,53.300,0.311
,,61.500,0.319,69.800,0.319,46.100,0.319,82.100,0.400,53.300,0.311
,,61.300,0.319,70.200,0.319,46.200,0.319,82.000,0.398,53.400,0.311
,,62.100,0.320,70.300,0.320,46.200,0.319,81.800,0.398,53.400,0.311
,,61.800,0.319,70.400,0.319,46.300,0.319,82.000,0.398,53.200,0.311
,,62.000,0.319,70.400,0.319,46.400,0.319,82.300,0.398,53.300,0.311
,,61.900,0.319,70.400,0.319,46.400,0.320,82.300,0.399,53.200,0.311
,,61.500,0.320,70.300,0.320,46.400,0.319,82.500,0.398,53.400,0.311
,,61.500,0.319,70.300,0.320,46.400,0.319,82.500,0.398,53.600,0.310
,,61.100,0.319,70.500,0.319,46.400,0.319,82.500,0.399,53.800,0.311
,,61.100,0.319,70.500,0.320,46.300,0.319,82.600,0.398,53.400,0.311
,,61.400,0.319,70.800,0.319,46.300,0.319,82.600,0.398,53.600,0.311
,,61.400,0.319,71.000,0.320,46.300,0.319,82.700,0.398,53.600,0.311
,,61.400,0.320,71.000,0.320,46.400,0.320,82.600,0.398,53.700,0.311
,,61.800,0.320,70.700,0.319,46.500,0.319,82.800,0.398,53.700,0.311
,,62.100,0.320,70.900,0.320,46.200,0.319,82.700,0.398,53.700,0.311
,,62.200,0.321,70.900,0.320,46.300,0.319,82.800,0.398,53.700,0.311
,,62.300,0.319,70.900,0.320,46.300,0.318,82.700,0.397,53.800,0.311
,,62.200,0.319,70.900,0.320,46.400,0.319,82.700,0.398,53.800,0.311
,,62.100,0.320,70.900,0.320,46.400,0.319,82.800,0.398,53.600,0.311
,,62.200,0.319,71.000,0.320,46.200,0.319,82.800,0.398,53.800,0.310
,,62.100,0.319,71.000,0.319,46.300,0.319,82.700,0.398,53.600,0.311
,,62.100,0.319,71.200,0.320,46.200,0.318,82.700,0.398,53.800,0.311
,,62.100,0.319,71.200,0.320,46.300,0.318,82.600,0.397,53.800,0.310
,,62.100,0.320,71.100,0.320,46.300,0.319,82.700,0.398,53.600,0.311
,,62.000,0.320,71.300,0.320,46.500,0.318,82.800,0.398,53.700,0.311
,,62.200,0.319,71.000,0.320,46.400,0.319,82.800,0.398,53.600,0.311
,,62.300,0.320,71.100,0.320,46.200,0.319,83.100,0.398,53.800,0.311
,,62.500,0.320,71.500,0.320,46.500,0.318,83.100,0.398,53.600,0.311
,,62.200,0.319,71.400,0.320,46.200,0.319,83.300,0.398,53.800,0.311
,,62.300,0.320,71.500,0.320,46.400,0.319,83.300,0.398,53.700,0.311
,,62.200,0.319,71.500,0.320,46.400,0.319,83.000,0.398,53.600,0.311
,,62.600,0.319,71.400,0.320,46.300,0.319,83.300,0.398,53.700,0.311
,,62.700,0.319,71.500,0.320,46.300,0.318,83.300,0.399,53.800,0.310
,,62.600,0.320,71.500,0.320,46.400,0.319,83.300,0.398,53.800,0.311
,,62.700,0.320,71.500,0.320,46.400,0.319,83.200,0.398,53.700,0.311
,,62.700,0.320,71.700,0.320,46.400,0.319,83.200,0.398,53.700,0.311
,,62.800,0.319,72.000,0.320,46.400,0.319,83.200,0.398,53.600,0.311
,,63.300,0.320,72.100,0.319,46.400,0.319,83.500,0.398,53.800,0.311
,,63.300,0.320,72.100,0.320,46.400,0.319,83.900,0.398,53.800,0.310
,,63.200,0.319,72.200,0.321,46.500,0.318,83.900,0.399,53.700,0.311
,,63.200,0.319,72.200,0.319,46.300,0.319,83.900,0.399,53.800,0.311
,,63.800,0.320,72.300,0.320,46.300,0.318,83.800,0.398,53.600,0.310
,,63.800,0.320,72.600,0.320,46.300,0.319,83.900,0.399,53.800,0.311
,,63.900,0.319,72.500,0.320,46.300,0.318,84.000,0.398,53.700,0.311
,,63.800,0.320,72.700,0.320,46.100,0.319,83.800,0.398,53.700,0.311
,,63.900,0.319,72.600,0.320,46.300,0.320,83.900,0.399,53.700,0.311
,,63.800,0.320,72.600,0.320,46.300,0.319,83.800,0.398,53.600,0.312
,,64.000,0.320,72.600,0.320,46.400,0.319,83.800,0.399,53.300,0.311
,,63.900,0.320,72.700,0.320,46.200,0.318,83.900,0.399,53.500,0.311
,,63.900,0.319,72.700,0.321,46.400,0.319,83.900,0.399,53.600,0.311
,,64.100,0.320,73.100,0.320,46.400,0.319,83.800,0.399,53.500,0.310
,,64.200,0.320,73.200,0.321,46.500,0.319,83.800,0.398,53.600,0.311
,,64.400,0.320,73.200,0.320,46.300,0.319,83.800,0.398,53.600,0.311
,,64.400,0.320,73.200,0.320,46.300,0.318,83.900,0.399,53.700,0.311
,,64.300,0.320,73.300,0.320,46.400,0.319,83.700,0.398,54.100,0.313
,,64.800,0.320,73.100,0.320,46.300,0.318,83.900,0.399,55.200,0.317
,,64.300,0.320,73.300,0.321,46.300,0.319,83.800,0.399,56.200,0.322
,,64.300,0.319,73.800,0.324,46.300,0.318,83.800,0.399,57.100,0.326
,,64.500,0.320,74.400,0.327,46.200,0.318,83.800,0.398,57.200,0.329
,,64.500,0.320,75.500,0.330,46.200,0.319,83.800,0.398,57.200,0.331
,,64.800,0.320,77.300,0.332,46.400,0.318,83.900,0.400,58.200,0.332
,,64.600,0.320,78.600,0.333,46.300,0.319,83.700,0.398,58.900,0.334
,,64.300,0.320,79.500,0.334,46.300,0.318,83.900,0.398,59.200,0.335
,,64.400,0.320,80.300,0.335,46.400,0.319,83.900,0.399,59.700,0.335
,,64.300,0.319,81.600,0.335,46.500,0.319,83.900,0.398,59.500,0.335
,,64.400,0.320,81.400,0.336,46.400,0.319,84.400,0.399,60.100,0.336
,,64.500,0.320,81.100,0.336,46.300,0.319,84.400,0.398,59.600,0.336
,,64.400,0.319,82.000,0.336,46.400,0.319,84.400,0.398,60.200,0.337
,,64.400,0.320,83.000,0.337,46.300,0.319,84.300,0.399,60.600,0.338
,,64.400,0.320,83.600,0.336,46.400,0.319,84.300,0.398,60.300,0.338
,,64.400,0.321,84.600,0.337,46.500,0.319,84.200,0.399,60.700,0.339
,,64.500,0.320,84.900,0.337,47.000,0.319,84.300,0.399,61.200,0.339
,,64.600,0.320,85.900,0.338,47.000,0.319,84.200,0.399,61.400,0.339
,,64.800,0.320,87.100,0.337,47.000,0.319,84.400,0.398,61.200,0.339
,,64.900,0.320,88.000,0.338,46.900,0.319,84.400,0.399,61.000,0.339
,,65.100,0.320,88.400,0.338,46.900,0.319,84.500,0.399,61.100,0.339
,,65.000,0.319,88.700,0.338,46.800,0.319,84.500,0.399,61.200,0.340
,,64.900,0.321,89.100,0.338,46.900,0.320,84.300,0.399,61.400,0.340
,,65.300,0.320,89.400,0.338,46.800,0.319,84.300,0.399,61.600,0.340
,,64.900,0.321,89.800,0.338,46.900,0.320,84.600,0.399,61.200,0.340
,,65.400,0.321,89.900,0.339,46.900,0.319,85.000,0.399,61.300,0.339
,,65.000,0.320,90.700,0.339,47.000,0.319,85.000,0.399,61.300,0.340
,,65.300,0.321,91.200,0.339,47.100,0.320,84.900,0.399,61.500,0.339
,,65.400,0.321,91.400,0.339,46.900,0.319,84.900,0.399,61.800,0.340
,,65.600,0.321,91.800,0.339,47.300,0.320,85.000,0.399,61.700,0.340
,,65.600,0.320,92.200,0.339,47.300,0.319,84.900,0.399,61.700,0.339
,,65.400,0.321,92.600,0.339,47.300,0.319,84.800,0.399,61.700,0.339
,,65.600,0.320,93.400,0.339,47.500,0.320,84.600,0.399,61.900,0.340
,,65.600,0.320,94.100,0.339,47.500,0.319,84.800,0.400,61.800,0.340
,,65.600,0.321,95.000,0.338,47.600,0.320,84.900,0.404,61.800,0.340
,,66.100,0.321,95.100,0.340,47.400,0.320,85.400,0.407,61.800,0.340
,,66.100,0.320,95.100,0.340,47.500,0.319,86.100,0.412,62.000,0.340
,,66.100,0.320,95.400,0.340,47.500,0.319,86.300,0.415,62.200,0.340
,,66.200,0.321,96.200,0.339,47.500,0.320,86.600,0.415,62.300,0.340
,,66.300,0.321,96.800,0.340,47.600,0.319,87.200,0.417,62.500,0.340
,,66.500,0.320,97.500,0.340,47.500,0.319,87.700,0.418,62.700,0.340
,,66.600,0.321,98.000,0.340,47.500,0.319,88.000,0.418,63.000,0.339
,,66.700,0.320,98.700,0.341,47.300,0.320,87.900,0.418,62.900,0.340
,,66.800,0.320,98.900,0.340,47.500,0.319,88.500,0.419,62.700,0.340
,,66.600,0.320,99.600,0.341,47.500,0.319,89.100,0.420,63.000,0.340
,,66.600,0.320,100.000,0.340,47.500,0.320,89.700,0.421,62.800,0.340
,,66.700,0.321,100.200,0.340,47.300,0.319,90.100,0.421,62.900,0.341
,,66.800,0.321,100.800,0.340,47.500,0.320,90.700,0.422,63.000,0.340
,,66.600,0.320,101.400,0.340,47.600,0.319,90.600,0.422,62.900,0.340
,,66.700,0.321,101.800,0.341,47.500,0.320,90.700,0.422,63.500,0.340
,,67.300,0.320,102.200,0.340,47.500,0.319,90.700,0.423,63.400,0.341
,,67.700,0.321,102.600,0.341,47.600,0.319,91.100,0.423,63.500,0.340
,,67.100,0.321,102.900,0.341,47.500,0.320,91.200,0.423,63.400,0.340
,,66.800,0.321,103.000,0.340,47.500,0.319,91.300,0.424,63.200,0.340
,,66.600,0.320,103.500,0.341,47.800,0.320,91.400,0.424,62.900,0.341
,,66.700,0.321,104.000,0.340,47.600,0.319,91.800,0.423,62.900,0.341
,,67.200,0.321,104.100,0.341,47.800,0.320,91.700,0.424,63.000,0.340
,,67.300,0.320,104.200,0.341,47.900,0.319,92.200,0.425,62.900,0.340
,,67.200,0.321,104.500,0.341,48.100,0.319,92.300,0.424,62.900,0.341
,,67.200,0.320,104.700,0.341,47.900,0.319,92.200,0.424,62.800,0.340
,,67.800,0.320,105.200,0.341,47.600,0.319,92.800,0.424,63.100,0.341
,,67.700,0.320,105.300,0.341,47.500,0.319,92.800,0.425,63.400,0.341
,,67.300,0.321,105.700,0.341,47.800,0.319,92.800,0.425,63.700,0.341
,,68.000,0.320,105.800,0.341,47.700,0.320,92.300,0.425,64.200,0.341
,,68.000,0.321,106.200,0.342,47.700,0.321,92.800,0.424,64.100,0.341
,,67.700,0.321,106.700,0.341,47.600,0.326,93.300,0.425,64.500,0.340
,,67.900,0.321,107.500,0.342,48.500,0.332,93.400,0.426,64.400,0.340
,,67.900,0.321,107.900,0.341,49.900,0.335,93.400,0.426,64.300,0.341
,,68.200,0.322,108.200,0.341,50.800,0.338,93.500,0.425,64.400,0.341
,,68.400,0.321,108.900,0.342,51.000,0.340,93.700,0.426,64.100,0.341
,,68.600,0.321,109.300,0.341,51.400,0.340,94.200,0.426,64.100,0.340
,,69.600,0.324,109.600,0.341,51.200,0.342,94.000,0.426,63.900,0.340
,,69.900,0.327,109.900,0.342,51.700,0.342,94.300,0.426,64.600,0.341
,,69.400,0.330,110.600,0.342,52.700,0.344,94.700,0.426,64.600,0.340
,,70.000,0.332,110.900,0.342,52.700,0.344,94.600,0.426,64.300,0.340
,,72.700,0.333,111.000,0.342,53.200,0.345,94.700,0.425,64.300,0.340
,,74.300,0.334,110.900,0.342,53.700,0.346,94.900,0.426,64.400,0.340
,,75.400,0.335,111.300,0.342,53.800,0.347,95.200,0.425,64.500,0.341
,,76.600,0.335,111.400,0.342,53.800,0.345,95.300,0.427,64.600,0.340
,,77.200,0.335,111.500,0.342,54.000,0.346,95.300,0.426,64.500,0.341
,,78.500,0.336,112.100,0.343,54.300,0.346,95.400,0.426,64.600,0.340
,,79.700,0.337,112.500,0.342,54.400,0.346,95.300,0.426,64.600,0.339
,,80.100,0.337,113.000,0.343,54.400,0.347,95.500,0.427,64.400,0.340
,,80.800,0.337,113.200,0.342,54.600,0.346,95.700,0.428,64.500,0.340
,,81.700,0.337,113.400,0.342,54.900,0.346,95.200,0.426,64.600,0.340
,,82.500,0.337,113.600,0.343,55.100,0.347,95.100,0.427,64.600,0.340
,,82.700,0.338,113.900,0.343,55.400,0.347,95.700,0.427,64.400,0.340
,,83.100,0.338,114.400,0.343,55.400,0.346,95.900,0.427,64.600,0.340
,,84.100,0.338,114.600,0.343,56.000,0.347,95.800,0.427,64.600,0.340
,,84.800,0.337,115.000,0.343,56.200,0.347,96.300,0.427,64.500,0.340
,,85.100,0.338,115.200,0.343,56.400,0.347,96.800,0.427,64.700,0.341
,,85.300,0.339,115.100,0.343,56.500,0.347,96.800,0.427,64.600,0.340
,,86.300,0.339,115.300,0.343,56.700,0.347,97.000,0.427,64.700,0.341
,,86.400,0.339,115.500,0.344,56.500,0.348,96.800,0.427,64.600,0.340
,,86.800,0.339,115.600,0.343,56.700,0.348,97.300,0.428,64.600,0.341
,,87.200,0.338,115.500,0.343,57.200,0.348,97.500,0.427,64.600,0.340
,,87.700,0.339,116.000,0.343,57.100,0.347,97.200,0.428,64.600,0.340
,,88.400,0.339,116.000,0.344,57.300,0.348,97.500,0.428,64.200,0.340
,,88.500,0.339,116.300,0.343,57.700,0.347,97.500,0.429,64.100,0.340
,,88.900,0.340,116.800,0.343,57.800,0.347,97.400,0.428,64.000,0.341
,,89.400,0.340,117.100,0.344,58.200,0.348,97.500,0.429,64.100,0.341
,,90.200,0.340,117.700,0.344,58.100,0.348,97.400,0.428,64.600,0.341
,,91.000,0.340,117.700,0.343,58.400,0.347,97.600,0.427,64.600,0.341
,,91.300,0.340,117.700,0.343,58.400,0.348,97.500,0.428,64.700,0.341
,,91.400,0.340,117.800,0.344,58.300,0.348,97.600,0.429,64.500,0.341
,,92.300,0.340,118.300,0.344,58.300,0.348,97.600,0.428,64.600,0.340
,,92.800,0.341,118.200,0.344,58.400,0.348,97.600,0.428,64.600,0.341
,,93.000,0.340,118.400,0.344,58.300,0.348,97.500,0.428,64.600,0.340
,,93.500,0.340,118.900,0.343,58.400,0.348,97.700,0.428,64.600,0.340
,,94.300,0.341,118.900,0.345,58.400,0.348,97.500,0.429,64.600,0.341
,,94.700,0.341,119.200,0.344,58.900,0.348,97.900,0.428,64.500,0.341
,,95.300,0.341,119.600,0.344,58.900,0.348,98.200,0.428,64.200,0.341
,,95.200,0.341,119.500,0.345,58.900,0.348,98.100,0.427,64.000,0.341
,,95.200,0.341,119.400,0.344,58.900,0.347,98.600,0.428,63.900,0.341
,,96.000,0.341,119.600,0.344,58.700,0.348,98.600,0.428,64.100,0.340
,,96.900,0.341,120.000,0.345,59.100,0.348,98.600,0.428,64.100,0.341
,,96.900,0.341,120.300,0.344,58.900,0.348,98.500,0.428,64.100,0.341
,,96.900,0.342,120.600,0.345,59.400,0.347,98.600,0.428,64.000,0.341
,,97.500,0.341,121.100,0.344,59.000,0.348,98.600,0.428,64.000,0.341
,,98.200,0.341,121.400,0.344,58.800,0.348,98.700,0.428,64.200,0.341
,,98.500,0.341,121.800,0.344,58.800,0.348,98.700,0.429,64.400,0.341
,,98.900,0.341,122.200,0.345,58.900,0.347,98.700,0.428,64.500,0.341
,,99.200,0.342,122.400,0.345,59.400,0.348,98.600,0.427,64.500,0.341
,,99.400,0.342,122.300,0.345,59.500,0.348,98.800,0.427,64.700,0.340
,,100.000,0.341,122.500,0.345,59.500,0.348,98.600,0.428,64.600,0.340
,,100.500,0.341,122.700,0.345,59.500,0.348,98.700,0.428,64.300,0.341
,,100.900,0.342,123.000,0.344,59.500,0.349,98.700,0.428,64.200,0.341
,,101.200,0.342,123.000,0.345,59.400,0.348,99.200,0.428,64.200,0.341
,,101.700,0.342,123.400,0.345,59.500,0.348,99.200,0.428,64.100,0.341
,,102.300,0.343,123.600,0.345,59.600,0.349,99.100,0.428,64.500,0.341
,,102.200,0.342,123.600,0.345,59.600,0.348,99.500,0.428,64.600,0.341
,,102.900,0.343,123.800,0.345,59.400,0.349,99.800,0.428,64.700,0.341
,,103.200,0.342,123.800,0.345,59.500,0.348,99.900,0.429,64.500,0.341
,,103.700,0.342,123.900,0.345,59.600,0.348,99.800,0.428,64.500,0.341
,,103.800,0.343,124.200,0.345,59.600,0.348,99.800,0.428,64.600,0.341
,,103.800,0.342,124.300,0.346,59.500,0.349,99.900,0.427,64.600,0.341
,,103.800,0.342,124.700,0.345,59.500,0.348,99.800,0.429,64.900,0.342
,,103.900,0.342,124.800,0.346,59.600,0.348,99.800,0.428,65.000,0.341
,,104.300,0.343,125.200,0.346,59.600,0.348,100.200,0.428,64.900,0.342
,,104.400,0.342,125.300,0.345,59.600,0.349,100.400,0.428,65.000,0.342
,,104.400,0.343,125.800,0.345,59.900,0.349,100.300,0.428,65.100,0.341
,,104.300,0.343,125.800,0.346,59.700,0.349,100.500,0.427,65.000,0.342
,,104.700,0.343,125.700,0.345,59.800,0.348,100.400,0.428,65.100,0.341
,,105.000,0.343,125.800,0.346,59.500,0.348,100.800,0.428,65.200,0.341
,,105.900,0.343,125.800,0.345,59.600,0.348,100.900,0.428,65.100,0.341
,,106.500,0.343,126.000,0.345,59.800,0.348,100.400,0.428,65.100,0.341
,,107.100,0.343,125.800,0.346,60.000,0.349,100.300,0.428,65.100,0.341
,,107.300,0.343,126.100,0.345,60.200,0.348,100.400,0.428,65.300,0.342
,,107.500,0.342,126.300,0.346,60.000,0.348,100.400,0.428,65.400,0.341
,,107.800,0.343,126.200,0.346,60.200,0.349,100.300,0.428,65.200,0.341
,,108.100,0.343,126.300,0.345,60.500,0.348,100.400,0.429,65.500,0.341
,,108.400,0.343,126.600,0.346,60.600,0.349,100.600,0.428,65.600,0.341
,,108.600,0.342,126.900,0.346,60.700,0.349,100.900,0.428,65.700,0.342
,,108.300,0.344,126.800,0.346,60.700,0.348,100.700,0.428,65.700,0.341
,,108.400,0.343,126.900,0.346,60.600,0.349,100.900,0.428,65.800,0.342
,,108.500,0.343,127.500,0.346,60.700,0.348,101.000,0.428,65.700,0.341
,,108.400,0.344,127.500,0.346,61.100,0.349,100.800,0.428,65.700,0.341
,,108.500,0.343,127.700,0.346,61.200,0.349,101.000,0.427,65.800,0.341
,,108.300,0.344,128.000,0.346,60.900,0.348,100.500,0.427,65.800,0.340
,,108.600,0.344,128.100,0.346,60.900,0.348,100.400,0.428,65.600,0.341
,,108.700,0.344,128.100,0.346,60.700,0.348,100.600,0.429,65.500,0.341
,,109.000,0.343,128.700,0.346,60.600,0.348,100.700,0.428,65.500,0.341
,,108.900,0.344,128.800,0.346,60.500,0.348,100.900,0.428,65.500,0.341
,,109.000,0.344,129.300,0.346,60.700,0.349,101.000,0.429,65.400,0.341
,,109.600,0.344,129.100,0.346,61.000,0.348,100.800,0.427,65.600,0.341
,,109.600,0.344,129.300,0.346,61.200,0.348,101.100,0.427,65.400,0.341
,,109.900,0.344,129.100,0.346,61.300,0.348,100.900,0.428,65.500,0.341
,,110.100,0.344,129.100,0.346,61.600,0.348,100.900,0.428,65.300,0.340
,,110.500,0.345,129.600,0.347,61.700,0.349,101.400,0.429,65.700,0.341
,,110.700,0.344,129.800,0.346,61.800,0.348,101.500,0.428,65.300,0.341
,,110.700,0.345,129.900,0.346,61.800,0.348,101.400,0.429,65.600,0.341
,,111.200,0.344,130.300,0.346,61.900,0.348,101.600,0.428,65.600,0.341
,,111.300,0.345,130.400,0.347,61.500,0.348,101.600,0.428,65.800,0.340
,,111.400,0.345,130.200,0.347,61.200,0.349,101.600,0.428,65.700,0.340
,,112.000,0.344,130.400,0.347,61.500,0.348,101.500,0.428,65.600,0.341
,,112.500,0.345,130.600,0.347,61.500,0.348,101.500,0.429,65.700,0.341
,,113.000,0.345,130.900,0.347,61.400,0.349,101.500,0.428,65.500,0.341
,,113.600,0.345,131.300,0.347,61.600,0.349,101.400,0.428,65.300,0.342
,,114.100,0.345,131.000,0.347,61.800,0.349,101.600,0.428,65.200,0.341
,,114.500,0.345,131.300,0.347,61.800,0.349,101.500,0.428,65.500,0.341
,,114.800,0.345,131.300,0.347,61.900,0.348,101.500,0.428,65.100,0.341
,,115.400,0.344,131.700,0.346,62.300,0.349,101.700,0.428,65.200,0.341
,,115.100,0.345,131.900,0.346,62.300,0.349,101.900,0.427,65.300,0.340
,,115.400,0.345,132.000,0.347,62.300,0.348,102.100,0.428,65.300,0.340
,,115.900,0.345,132.100,0.347,62.400,0.349,102.100,0.428,65.400,0.341
,,115.800,0.345,132.100,0.347,62.400,0.348,101.500,0.428,65.400,0.341
,,116.000,0.345,132.600,0.347,62.500,0.349,101.500,0.428,65.400,0.341
,,116.300,0.346,132.600,0.346,62.200,0.349,101.600,0.428,65.200,0.341
,,116.500,0.345,132.500,0.347,62.300,0.348,101.600,0.429,65.500,0.340
,,116.900,0.346,132.500,0.347,62.400,0.349,101.600,0.428,65.400,0.341
,,116.900,0.345,132.700,0.347,62.400,0.348,101.600,0.428,65.700,0.340
,,117.300,0.346,133.100,0.347,62.900,0.349,101.600,0.429,65.600,0.341
,,117.200,0.346,133.100,0.348,62.900,0.349,102.100,0.429,65.800,0.341
,,117.400,0.345,133.300,0.347,63.000,0.349,102.100,0.429,65.600,0.341
,,117.500,0.346,133.100,0.348,62.800,0.349,102.100,0.428,65.700,0.341
,,118.000,0.346,133.300,0.348,62.800,0.349,102.100,0.428,65.700,0.340
,,118.200,0.345,133.000,0.348,63.000,0.348,102.100,0.428,65.900,0.340
,,118.600,0.345,133.300,0.348,62.900,0.348,102.100,0.429,65.700,0.341
,,118.600,0.346,133.500,0.348,62.800,0.349,102.300,0.429,65.800,0.341
,,118.700,0.347,133.800,0.347,62.900,0.349,102.200,0.429,65.800,0.340
,,118.700,0.346,133.700,0.348,63.000,0.348,102.200,0.429,65.800,0.341
,,118.600,0.346,133.900,0.348,63.000,0.349,102.500,0.428,65.700,0.340
,,118.800,0.346,133.800,0.348,62.900,0.348,102.400,0.428,65.700,0.341
,,119.200,0.346,134.100,0.348,62.800,0.349,102.300,0.430,65.800,0.341
,,119.200,0.347,134.300,0.348,62.900,0.348,102.300,0.429,66.000,0.342
,,119.300,0.346,134.300,0.348,63.000,0.348,102.500,0.429,66.100,0.347
,,119.900,0.346,134.700,0.350,63.000,0.349,102.600,0.430,67.000,0.351
,,119.700,0.347,135.500,0.352,62.800,0.348,102.700,0.429,67.900,0.355
,,119.900,0.347,135.900,0.355,63.100,0.349,102.600,0.429,68.900,0.358
,,119.800,0.346,136.100,0.357,63.300,0.348,102.400,0.429,69.700,0.359
,,119.900,0.347,136.500,0.359,63.300,0.349,102.700,0.429,70.200,0.361
,,120.000,0.346,137.100,0.361,63.200,0.349,102.800,0.429,70.000,0.361
,,120.300,0.347,137.200,0.360,63.000,0.349,102.800,0.429,70.700,0.363
,,120.300,0.347,137.400,0.362,62.900,0.350,102.700,0.430,70.300,0.363
,,120.500,0.347,137.900,0.362,63.000,0.349,102.700,0.430,70.700,0.363
,,120.400,0.347,138.800,0.363,62.900,0.349,102.700,0.429,70.800,0.364
,,120.400,0.346,139.600,0.362,62.900,0.349,102.500,0.429,70.800,0.365
,,120.700,0.346,140.100,0.364,62.900,0.349,103.000,0.429,71.400,0.365
,,120.800,0.347,140.800,0.363,62.900,0.349,103.400,0.430,71.200,0.366
,,121.000,0.347,141.100,0.364,62.900,0.348,103.200,0.430,71.500,0.366
,,121.100,0.346,141.200,0.365,63.000,0.349,103.200,0.430,72.100,0.366
